fixture_id,odd_home,odd_draw,odd_away
1528321,4.55,4.2,1.74
1528319,2.69,3.92,2.49
1528324,4.65,4.32,1.7
1528323,1.72,3.79,5.32
1528322,6.03,4.23,1.57
1528320,1.93,3.82,3.9
1528325,2.59,3.82,2.59
1528318,3.49,3.98,2.01
1528334,3.05,3.36,2.45
1528336,2.09,3.62,3.57
1528335,3.19,3.08,2.54
1528337,3.76,3.31,2.15
1528339,1.58,4.35,5.71
1528338,2.13,3.51,3.58
1528340,3.03,3.36,2.37
1528341,2.65,3.47,2.72
1528352,2.15,3.38,3.45
1528355,2.73,3.45,2.55
1528354,3.79,3.83,1.89
1528353,3.26,3.38,2.23
1528350,1.24,5.83,11.69
1528351,1.74,3.75,4.7
1528357,4.52,3.8,1.76
1528356,3.59,3.61,2.02
